"Rol","Tipo de lesión","Edad","Sexo","Vehiculo en  el que viajaba","Año","Provincia","Cantón","Distrito","Día","Mes","Edad quinquenal"
"Motociclista","Muerte","68","Hombre","Motocicleta",2023,"Limón","Matina","Matina","2.Lunes","J. Octubre","De 65 a 69"
"Pasajero moto","Muerte","29","Hombre","Motocicleta",2023,"Limón","Matina","Batán","1.Domingo","L. Diciembre","De 25 a 29"
"Motociclista","Muerte","29","Mujer","Motocicleta",2023,"San José","Moravia","San Vicente","2.Lunes","K. Noviembre","De 25 a 29"
"Peatón","Muerte","Desconocido","Hombre","No aplica",2023,"Alajuela","Alajuela","Garita","5.Jueves","K. Noviembre","Desconocida"
"Peatón","Muerte","40","Hombre","No aplica",2023,"Alajuela","Grecia","Puente de Piedra","7.Sábado","L. Diciembre","De 40 a 44"
"Pasajero moto","Muerte","37","Mujer","Motocicleta",2023,"Limón","Siquirres","Reventazón","6.Viernes","D. Abril","De 35 a 39"
"Peatón","Muerte","35","Hombre","No aplica",2023,"Limón","Siquirres","Siquirres","6.Viernes","D. Abril","De 35 a 39"
"Conductor","Muerte","20","Hombre","Automóvil",2023,"Guanacaste","Liberia","Liberia","1.Domingo","G. Julio","De 20 a 24"
"Motociclista","Muerte","22","Hombre","Motocicleta",2023,"Guanacaste","Liberia","Liberia","5.Jueves","H. Agosto","De 20 a 24"
"Conductor","Muerte","27","Hombre","Automóvil",2023,"Limón","Limón","Limón","7.Sábado","A. Enero","De 25 a 29"
"Peatón","Muerte","Desconocido","Hombre","No aplica",2023,"Limón","Matina","Carrandi","2.Lunes","D. Abril","Desconocida"
"Ciclista","Muerte","44","Hombre","Bicicleta",2023,"Limón","Talamanca","Cahuita","3.Martes","I. Setiembre","De 40 a 44"
"Motociclista","Muerte","Desconocido","Hombre","Motocicleta",2023,"Limón","Talamanca","Cahuita","6.Viernes","K. Noviembre","Desconocida"
"Peatón","Muerte","26","Mujer","No aplica",2023,"Limón","Limón","Matama","1.Domingo","L. Diciembre","De 25 a 29"
"Peatón","Muerte","29","Mujer","No aplica",2023,"Limón","Limón","Matama","1.Domingo","L. Diciembre","De 25 a 29"
"Motociclista","Muerte","32","Hombre","Motocicleta",2023,"Alajuela","San Mateo","San Mateo","1.Domingo","K. Noviembre","De 30 a 34"
"Peatón","Muerte","2","Mujer","No aplica",2023,"Guanacaste","Nandayure","Santa Rita","5.Jueves","C. Marzo","De 0 a 4"
"Motociclista","Muerte","42","Hombre","Motocicleta",2023,"Guanacaste","Nicoya","Nicoya","5.Jueves","I. Setiembre","De 40 a 44"
"Motociclista","Muerte","16","Hombre","Motocicleta",2023,"Puntarenas","Puntarenas","Cóbano","3.Martes","L. Diciembre","De 15 a 19"
"Conductor","Muerte","31","Hombre","Automóvil",2023,"San José","León Cortés","San Antonio","2.Lunes","A. Enero","De 30 a 34"
"Motociclista","Muerte","Desconocido","Hombre","Motocicleta",2023,"San José","León Cortés","San Isidro","6.Viernes","E. Mayo","Desconocida"
"Motociclista","Muerte","22","Hombre","Motocicleta",2023,"Heredia","Sarapiquí","La Virgen","2.Lunes","C. Marzo","De 20 a 24"
"Ciclista","Muerte","48","Hombre","Bicicleta",2023,"Heredia","Sarapiquí","Las Horquetas","1.Domingo","D. Abril","De 45 a 49"
"Peatón","Muerte","46","Mujer","No aplica",2023,"Limón","Matina","Carrandi","7.Sábado","L. Diciembre","De 45 a 49"
"Ciclista","Muerte","Desconocido","Desconocido","Bicicleta",2023,"Cartago","La Unión","San Rafael","1.Domingo","K. Noviembre","Desconocida"
"Conductor","Muerte","36","Hombre","Automóvil",2023,"Cartago","El Guarco","San Isidro","7.Sábado","L. Diciembre","De 35 a 39"
"Conductor","Muerte","39","Hombre","Automóvil",2023,"Heredia","Heredia","Ulloa","7.Sábado","H. Agosto","De 35 a 39"
"Pasajero carro","Muerte","12","Hombre","Otros",2023,"San José","San José","Uruca","6.Viernes","L. Diciembre","De 10 a 14"
